full_text,Anger,Anticipation,Disgust,fear,joy,optimism,pessimism,sad,surprise,trust,neutral,ProG,AntiG,opinion
"Good luck with your 6th democratic election South Africa!!
.
.
.
.
#vuertv #streaming #tv #TvOnTheInternet #broadcast #southafrica #music #travel #education #elections2019 #govote #xse #flag #follow #like… https://t.co/BaXm8bCQAG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I applied and received my temporary ID, and voted, all within the space of one hour in Durban this afternoon. Well done to @HomeAffairs and the @IECSouthAfrica. What a privilege to be able to vote in such a young democracy. Here's to getting back on track #2019Elections 🇿🇦 ❤️ 🗳",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@theskindoctor13 @TheSavageKat I believe you are overestimating figures fromcertain states like TN, Odisha, Punjab and WB. I am from Odisha and the ground realities look different. NaMo is a strong and respected figure here but there isn't anything like a",0,0,0,0,0,0,0,0,0,0,1,0,0,1
#JammuAndKashmir seen peaceful polling. Congratulations to Rupin Sharma IPS @rupin1992 for ensuring peaceful election in Jammu &amp; Kashmir under his command. #LoksabhaElection2019 #JammuAndKashmir @himantabiswa @SangmaConrad @rajnathsingh @rashtrapatibhvn @PMOIndia @Neiphiu_Rio https://t.co/zn6gBgx6NM,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"OVERHEARD!!! 
UP cops on BJP's prospects in state... Cop 1: 20 seats, Cop 2: 40 seats, Cop 3: Hacking karenge #ModiHaiTohMumkinHai #LokSabhaELections2019 #AbHogaNyay #BharatKaGarvModi #Chowkidarnarendramodi #ChowkidarHiChorHai",0,0,0,0,0,0,0,0,1,0,0,1,0,1
"@ecrdrivetime @ecr9495 @gazza_jenks @RoryPetzer @bonganimtolo_ @MagsSouthAfrica #EastCoastDrive #SecretSound #2019Elections #SAElections2019 Voted this morning ❎, thinking of how far we have come as a democratic nation, what our people have fought for. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
So basically the IEC have no security measures in place to prevent fraudulent voting. In an era where everything is digital you’d think their machine would detect if one had already voted. And we talk of 4IR 🤦🏾‍♂️🤦🏾‍♂️ #2019Elections#2019Elections,1,0,1,0,0,0,0,1,0,0,0,0,0,1
@SirPareshRawal इस दोगले थूकचट्टे @VinodDua7 को ढूँढ कर दुनिया के सामने नंगा करने वाले को 100 तोपों की सलामी 👍👍 #VinodDua #20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It's done! History in the making. The most important elections after 1994. Truly proud to have taken part!
#elections2019 #Xsê republicofsouthafrica
@MYANC… https://t.co/Xc3ZhVDUCB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@narendramodi has given deadly blow by telling #RajivGandhi with In-laws misused our #Navy warship #INSVirat for vacation. Can @GandhiSonia2013 @RahulGandhi @priyankagandhi 
Or @INCIndia deny this?
#Elections2019",0,0,1,0,0,1,0,0,0,0,0,1,0,1
Time for election commission to think technology and think innovation. You can’t keep a nation on election mode for 7 weeks! Can’t call it waste but certainly inefficient.#ElectionCommission #Elections2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"I voted. ❌ Did you? #SAElections2019 #Elections2019 #SouthAfricaDecides2019 🇿🇦 #SouthAfricaDecides
There are just under 4 hours left. Voting stations should be open until 9pm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parties who fought opposite are forming alliance post #Election2019 deceiving voters and mocking #democracy . They had no courage for pre poll tie-up. #India deserves honest, ethical leaders. Not  cunning fringes. #LokSabhaElections2019 @Tejasvi_Surya @Swamy39 @narendramodi #ANI",1,0,1,0,0,0,0,0,0,0,1,0,0,1
"#2019Elections Shiburi: we have commiserated with the family of the elderly lady who died while casting her ballot in Tshwane, we have not heard of the second incident in the Vaal. @KayaNews #2019ElectionsOnKaya",0,0,0,0,0,0,0,1,0,0,0,0,0,1
@IECSouthAfrica please confirm that these voting stations have received their ballot papers in #Capetown? Why did so many stations run out of ballot papers so early? This is completely unacceptable that you are preventing people to vote in #DA areas? Plea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Make sure you get to your voting station soon! Doors close at 9pm! The process is simple, don't forget to #VoteIFP on Both Ballots, National and Provincial! #Elections2019 #8May2019 🐘 #TrustUs https://t.co/W0qQ8DnUEh",0,0,0,0,0,1,0,0,0,0,0,0,0,0
Narendra Modi will go down in history for the highest number of clean chits received by #ElectionCommission in the history of Election 😂 what a bunch of lunatics you people are @ECISVEEP #ElectionCode,0,0,0,0,1,0,0,0,1,0,0,0,1,1
"My challenge to fellow millennial South Africans: we're the ones we've  been waiting for! Exercise your right to vote but don't leave your fate  in the hands of others. Full video: https://t.co/RBfTk256ns

#votingday
#2019elections
#SADecides2019 
#gauteng https://t.co/m0NNX90NF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""The data reveals clear #inequality in #maternalhealth across #parliamentary constituencies in terms of #maternalmortalityrate and uptake of services like #ANC or institutional birth.""

#LokSabhaElection2019 

Read Shoba Suri: https://t.co/0N4T0nCh34",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"I made my mark...did you? There's still time. Voting stations close at 9pm...do the right thing. 😉
#SAelections2019 #Elections2019 #SADecides2019 https://t.co/QYHrjHAzdY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mama @phumzilengcuka hoping for woman DP after #SADECIDES2019 but Modimo le Badimo hv DONE better by delivering a woman PRESIDENT https://t.co/pPNhdtyyvY failures
@Presidency @Parliament @Judiciary

Last time this voice was shutout it cost SA #Statecapture

#Elections2019

@CNN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After having the privilege to shape our country,the luxury beer #ThePhatIndian is the perfect companion to help #reflect on where we are,we have come from and the hope we have for our future 🍻
#iec #elections2019 #saelections2019 #votesa #vote #luxurybeer #beer #experience #ipa https://t.co/N5oo7HdjZt",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#SAElections2019: Various polls released before the #Elections2019 have indicated that the ANC will remain in power.
The @IRR_SouthAfrica says:
#ANC: 53% | #DA: 24% | #EFF: 14%
This differs to the @Ipsos_SA poll:
ANC: 61-65% | DA: 17-19% | EFF: 10-11%",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Modi ji be like:

Why should Nehru has all the fun..let's his grandson also enjoy the #Elections2019 

#BreakingNews ताजा रुझानों में नेहरू को पीछे छोड़ राजीव गाँधी ने बनाई बढ़त!!",0,0,0,0,1,0,0,0,0,0,0,1,0,1
"#Election2019 @Delhi Sheila reminds city: Remember my 15 yes as CM @timesofindia. Yes we do ""Asian Games"" @SureshKalmadi gross mismanagement. @INCIndia @BJP4Delhi @AamAadmiParty. And yes Flyovers over tendered on which @AAP saved Public funds in crores.",1,0,0,0,0,0,0,0,0,0,0,1,0,1
I’m watching @IECSouthAfrica press conference. And it is evident that if u remove successfully the ink on ur thumb u can vote again. 🙆🏿‍♂️ #2019Elections #SADecides2019 #vote2019 very disappointed https://t.co/maV8hynEbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I have voted and am proud of my decision. I chose to believe in you my president @CyrilRamaphosa. Make the Changes our country needs. We need unity amongst our people and a cabinet that works for the people. #2019Elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@RahulGandhi 
@priyankagandhi 

Please ask your mummy which island where all your family members were gone because, I have plan to go there after election results?

#PhirEkBaarModiSarkaar 
#AayegaTohModiHi
#Election2019 
#BJP
#DelhiWithModi",0,0,0,0,0,1,0,0,0,0,0,0,1,1
"#Elections2019 
It is really sad that opposition candidates have gone so cheap &amp; are resorting to use such language against PM to express anger. Weren't they who started the war? Is this called freedom of speech.? Why are they afraid of PM? Are they afraid of being exposed?",0,0,0,1,0,0,0,0,0,0,0,0,0,1
@NandosSA some of your employees at Bluehills say they haven’t voted 🗳 because they been on shift since morning and they may not even be able to go vote because they are knocking off at 6pm. Care to explain? #2019Elections #VOTE19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@timesnow was the first channel to get the first interview of @narendramodi after the second phase of elections. It now becomes the first channel to get the first interview two days after the fifth phase and four days before the sixth phase. #GeneralElect,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Police must perform duty without ""Ashok Sign "" badges when these rude leaders come and intimidate the police who has badges on shoulder, cap, Belt.",0,0,0,0,0,0,0,0,0,0,1,0,0,0
#BreakingNews ; #BREAKING ; #News ; #NewsToday ; #NewsAlert ; #NewIndia ; #Newsnight ; #News1st ; #NEWSINHINDI ; #NewsCorpse ; #Newspoll ; #ElectionCommission ; #Election2019 ; #Elections2019 ; #ElectionCommissionOfIndia ; #Newspaper ; #RahulKaChallenge ; #RanjanGogoi #BJP #RSS https://t.co/1w2iTmsMYq,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM once again drags #RajivGandhi   in his election speech
Says the @INCIndia used #INSVirat as a personal taxi 

After every speech only one question comes to mind... Why only Rajiv Gandhi out if all the Nehru-Gandhi family members? 
#LokSabhaElections2019",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"@aajtak @mausamii2u @priyankagandhi  modi ko harana hai ! You are fighting #Elections2019 with mr. Modi &amp; not any corruptions competition. 
Your respected father was is and will be 'NO. 1 CORRUPT'",1,0,0,0,0,0,0,0,0,0,0,1,0,0
The #Elections2019 is turning out to be clash between two #personalities. What about the #FutureofIndia with over 40% youth and 60% aspiring to join #middleclass?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Re weather affecting #Elections2019: The rain actually cleared up after the morning, so it doesn’t figure to have as much of an effect on turnout in Cape Town as it seemed it would earlier in the day. 

@dailymaverick",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It's beautiful to vote

My grandparents weren't allowed to _ or were pretty old under the new dispensation.

That is why I voted.

We weren't allowed to use particular toilets when I was a kid.

My dad was kicked off land from when he was a baby (expropriated).

#VotingDay",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Interesting! When a written apology has been rendered to SC.. attempt made to disown the copyright. Additionally it's deliberately being done to counter the ""Main Bhi Chowkidar"" narrative.  #BrainsAtWork
@INCIndia
@BJP4India 
#LokSabhaElections2019 
@narendramodi",0,0,0,0,0,0,0,0,0,0,0,1,0,1
NewsRoompost gets the insights from the RamLeela Maidan Ground about this #LokSabhaElection2019. Check out what we have on @narendramodi and @ArvindKejriwal. #ModiHiAayega https://t.co/RQnTjvGoX3,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"@rashtrapatibhvn #peopleofindia will prefer referendum on government formation by 21 parties, if it happens. This will be a surgical strike on #IndiaElects and economy",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"#ElectionsWithMC | All seven seats in Delhi will be voting in a single phase on May 12 in #Phase6. Will @AtishiAAP be able to stump BJP's @GautamGambhir?

#Elections2019
https://t.co/BcBlVOA5vq",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"How you tell yourself im voting for something else... dukuduku you get to the voting polls 💣 your thinking about sarafina, your grandparents and ancestors, then you only see the colors Black Yellow and Green 🤦‍♂️ #YouJustPlayedYourself 🤣😅🤦‍♂️🤷‍♂️ #VotingDay #ElectionDay2019...",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The #IEC says by 17h00 today, five voting stations had not been opened. Three of them are in KwaZulu-Natal. #SAElections2019 #Elections2019 @ecr9495 @ECRBreakfast",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New 2019 edition! The comprehensive digital campaigning &amp; online advocacy ebook. Fundraising, social media, political data, grassroots mobilization &amp; much more. Download now: https://t.co/omdsbxx0G0 #Elections2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This should count as one of #SAElections2019 highlights, #EFF supporters travelled to #Orania to cast their votes.🤭

#2019Elections #SADecides2019 #SAElection2019 https://t.co/pqOV8i4B32",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I voted for @EFFSouthAfrica
Whatever the outcome of today, let us all unite &amp; build the Africa we want.
Let us all work towards the restoration of the dignity of all Africans.
#IAmVotingEFF
#SADecides2019 #OurLandAndJobsNow
#2019Elections
#XseDay
#NewzroomAfrika
@IECSouthAfrica https://t.co/nZ3RwPYovK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The villager fulfilled his democratic and citizenry duty. Never mind the extremely immaculate nails, what matters is the ink. Let democracy prevail.

 #SAelections2019 
#Elections2019 https://t.co/WTphyHw2WT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
I guess Delhi should get full statehood for it's complete development. @AamAadmiParty is fighting for it and has been working for it. So it deserves a chance! #LokSabhaElections2019,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"#Bengal..TMC MP Ex -India Soccer captain Prasun Banerjee known for being ill-tempered,once slapped a Traffic cop for no fault of his got beaten by Central forces on election day when he tried to force his way into a polling booth.. https://t.co/ucYMqaNKBi
#LokSabhaElections2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#ActivateYouthVote2019 #2019Elections #AfterVotingIExpect #ANCFinalRally #iVotedANC #IVoteANC #IVoteEFF #IVoteBLF 
@DjNewSouthAfric @womxnFreed @KnockwonderK @LandNoli 
A rare image of Andile Mngxitama going go vote for #BLF https://t.co/Tjk7fHLYnE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMG such a big hypocracy all shoved under a rug 👏🏻👏🏻 @INCIndia  hats off to the corruption level in your govt
#ModiWave
#JeetegaToModiHi
#BharatKaGarvModi
#LoksabhaElection
#LokSabhaElections2019
#CongressMuktBharat
#ModiAaneWalaHai
#corruptionkingrajiv
https://t.co/UjSMF4XiIr",0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Who's setting the narrative before the last 2 phases of #LokSabhaElections2019 ? That's a clue enough to what's in store on 23rd May?
PM @narendramodi in the 19th and 20th over of a T20 match batting like @msdhoni!
छक्के पे छक्का!",0,0,0,0,0,0,0,0,0,0,0,1,0,1
The 15 best run Municipalities in this country is DA run municipalities and the 10 worst ones are ANC. Its says one thing: #KhulaDA  #VoteDA #2019elections,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Masego Shiburi #SAElections2019 #Elections2019 about 62million ballot papers were printed respectively for the Provincial and for National elections and therefore there shouldn't be a shortage of Ballot papers #baytv260 #TelkomSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@ApheleleMajoba The ratio is 1:5
The blacks must destory that white line and put 5 black people in front of every white person #Elections2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#2019Elections So in a number of casis 1. the ink can be removed, 2. the scanning devices don’t communicate any information in REAL TIME about WHO has voted, 3. those with smart card ID’s do not get to have their ID’s stamped and",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. Our last hope is a person scratching out your name in a voter’s roll at a specific station... and that’s “known” ONLY in that voting station and no where else. This is a time when we supposedly live in the Information Age! High risk of multiple voting #2019Elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@Our_DA or a strategic vote for a smaller party @purplecowmobi ? 
Heading to my station in and hour. 
Convince me!
#SAElections2019 #SADecides2019 #Elections2019 #SAElection2019 #VOTE19 #VotingDay",0,0,0,0,0,0,0,0,0,0,0,0,0,0
NewsRoompost gets the insights from the Ramlila Maidan Ground about this #LokSabhaElection2019. Check out what we have on @narendramodi and @ArvindKejriwal. #ModiHiAayega https://t.co/sDu92pX4QS,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"@IndiaToday @MamataOfficial #Election2019 #BattleOf2019 J&amp;K 2/6
PB 4/13
Har 8/10
HP 4/4
UP 66/80
UK 5/5
Guj 25/26
Raj 23/25
MP 27/29
CG 6/11
Bih 35/40
MH, Goa 38/50
Kar 18/28
TN 22/39
AP 5/25
TG 1/17
Ker 2/20
WB 15/42
Ori 14/21
UTs 10/13
NE 21/25   #A",0,0,0,0,0,0,0,0,0,0,1,0,0,0
We cant go on rewarding the ANC for their terrible service delivery and corruption by just voting them in time and time again. Its logical voters! #KhulaDA  #VoteDA #2019elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She is fortunate to have been alloted a government bungalow in one of the poshest colony. congress made such a law to facilitate it.,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"@theskindoctor13 @mohitsoni227 How many #BJP will get by itself in 2019?? I predict 300+ seats, what is your opinion??

#ModiHiAayega #LokSabhaElections2019",0,0,0,0,0,0,0,0,0,0,0,1,0,1
#SAElections2019 #Elections2019 #IEC's Mamabolo says the main factor of stations being opened late was due to service delivery protests and unrests #Baytv260 #TelkomSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#ElectionsWithNews18 Ref. Zakka's qn, why drag a dead person,who can't defend himself ,Is not the party repeatedly defending him,&amp;claiming the heritage, and takes credit for its past; then are Indians not entitled to know their full history. Thought u r neutral.r u ?Pl show it",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nowadays Political Parties are becoming so powerful that they make self made Issues without asking common man what they want. People are helpess or they don't care about there issues. Like Pollution, Education, Water Crises etc #loksabhaelections2019",0,0,0,0,0,0,1,0,0,0,0,0,0,0
“Change requires us to leave behind everything we’ve become used to and step into a place we’ve never been before. It asks us to take the road less travelled.” We need to be brave and unafraid of change or otherwise we will continue to suffer #KhulaDA #2019elections #VoteDA https://t.co/ts9Yk9QhQO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEW | #India Election Monitor: Phase 4

The latest installment tracks electoral violence and demonstration activity through last week's phase of #IndianElections2019. Take a closer look here: https://t.co/JVjLzuJEmQ 

#IndiaElections2019 #IndiaElects #IndiaVotes https://t.co/4vnzgFdTte",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Home Minister M B Patil on Tuesday said he too wants to see #Siddaramaiah as the chief minister again and strongly defended those who had been making similar demands.

#DHPoliticalTheatre | #LokSabhaElections2019 | #Replug | 

https://t.co/w2F3l6fKZs",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"We work for all but feel bad when they say won’t vote for lotus: Maneka on her remarks on Muslims.
#LokSabhaElections2019 | #Decision2019
https://t.co/l8WBGuzUfJ",0,0,0,0,0,0,0,1,0,0,0,0,0,0
On our way to go vote I asked My baby which party she is voting for and she started singing this 😂😂 . It's not too late. Make sure you exercise your right to vote. #Amalungelo #2019Elections #Amandla ✊✊✊ https://t.co/EDUSq606j4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"With a tough day of decisions behind us we sit back, relax and enjoy a well deserved reward during the midweek break. Which variant of Inverroche will you be indulging in this evening?
credit: @CraftLiquor_CLM
#Inverroche #VotingDay #SouthAfrica #HumpDay https://t.co/0AGy1GbpE1",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"भाजपा के बड़े नेता का बयान, अपने दम पर सरकार बनाना भाजपा के लिए होगा मुश्किल #Politics #India #Loksabhaelections2019 #LokSabhaEelctions2019 #IndiaElects #ModiOnceMore  @BJP4India @INCIndia  https://t.co/VZE6IJubhL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ये पप्पू कांग्रेस की लुटिया डुबोे कर रहेगा !
#LokSabhaElections2019 #HarDilMeiModi #ModiHiAayega #ShikharSammelan2019 @BJP4India @AMISHDEVGAN @sardanarohit @anuraagmuskaan @manakgupta @AskAnshul @rishibagree @OpIndia_com @Shehzad_Ind @ShivAroor @SureshChavhanke",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"India' Top Two Personalities have created a documentary on the Biggest Issue of this Century which is very close to 130 crore ppl of India and the issues is:

""How To Eat Mangoes?""

Guess who are these Maharathis?

#LokSabhaElections2019 #RahulKaChallenge #ModiHaiToMumkinHai",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"""#NationalSecurity has always been part of #NationalPolitics What has changed is only the way this issue is now playing out in the public domain""
Read @sushantsareen: https://t.co/dnIfRYpGCe
#ObserverResearchFoundation #LokSabhaElections2019 #India https://t.co/jKBYqLjGB7",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"If the ANC cant even get rid of the corrupt in their own CABINET, how on earth can we believe they will clean up the country? #KhulaDA  #VoteDA #2019elections",0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Elections2019 #SAElections2019 #IEC's Mamabolo says Jourbet Park in Johannesburg had about 15000 registrations making it the highest number in the country #Baytv260 #TelkomSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@IJaising @ScbaIndia @barandbench @TheLeaflet_in @LiveLawIndia #AayegaTohModiHi 
#LokSabhaElections2019
6th and 7th phase voters, 
Pl be aware Vultures are ready for tearing you apart",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"For those who havent made their mark or are still undecided. Please trust us with your vote, #VoteACDP 
#UniteBuildGrow #VoteACDP #VoteACDP #VoteACDP #SAElections2019 #SADecides2019 #ElectionDay @A_C_D_P @RevMeshoe @TBNinAfrica @MyFaithTv @DumisaTV @ONEGospel https://t.co/43l5xXeIBr",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Opinion | Can a party or a prime minister ever be held accountable unless the term is time-bound?

Gautam Bhatia writes: 
#LokSabhaElections2019 #IndiaElections2019 #ElectionsOutlook  https://t.co/gxSHv7mP7i",0,0,0,0,0,0,0,0,0,0,1,0,0,0
I think the @IECSouthAfrica needs to update the voting process and possibly introduce biometric scanning instead of and official looking through data to find your name! Make the process more streamline #SAElections2019 #Elections2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"India ranks 178 out of 180 countries in terms of poor air quality. 
3% of India’s GDP is lost due to #AirPollution &amp; yet its is given low priority in the election manifestoes of most national political parties. 
#LokSabhaElections2019 @Epic_India #ElectionBaaz https://t.co/SnJDB6XxJq",0,0,1,0,0,0,0,0,0,0,1,0,0,0
Another fruitful day of campaigning at Tughlakabad for @boxervijender - his resonance and goodwill with people is inspiring. @INCDelhi @ProfCong #AbHogaNYAY  #CongressForDelhi #IndiaElections2019 #IndiaElects @AIPCDelhiEast @AipcNorth @AIPCNorthZone @INCIndia https://t.co/CKfHWi3TX3,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"#2019Elections @IECSouthAfrica so my ID was not scanned but my brother's ID was scanned, he received some print out... What's the difference?",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Expropriation Of Chocolate Without Compensation

 🤣😂🤣😂🤣😂 Shem
@Happykhumalo54 @AndzoZwayne
La e bona Radical Economic Transformation e ya Youth... 🙆‍♀️🙆‍♀️🙆‍♀️
#ElectionDay https://t.co/W9hcfkWnMW",0,0,0,0,1,0,0,0,0,0,0,0,0,0
